id,custom_date,master_development,sub_loc_1,sub_loc_2,sub_loc_3,sub_loc_4,total_sales_price_val,sales_price_sqft_unit,sales_price_sqm_unit,unit_size_sqft,unit_size_sqm,unit_type,no_beds,custom_view,maid,study,balcony,plot_size_sqft,plot_size_sqm,developer_type,floor_level,evdnc_name,comments,dev_name,unit_no,sale_sequence,data_source,months_since_start,month,year_month,annual_service_charge,is_park_facing,is_pool_adjacent,is_corner_unit,is_single_row,is_end_unit,is_near_amenities,is_road_facing,is_brand_new,is_motivated_seller,is_hot_deal,has_big_plot,has_mortgage_mention,is_upgraded,is_rented,unit_subtype,unit_position,has_maid_room,plot_to_unit_ratio,is_g_plus_2,is_resale,beds_numeric,park_label,corner_label,row_label
10409492,2025-06-17,Mudon,Al Ranim,Al Ranim 1,,,3500000,1280,13780,2734,254.0,Townhouse,4.0,,,,,,,,G+1,Active Listings,4 Bed + Maids | On Green Belt,Dubai Properties,,,listing,4.3,2025-06,2025-06,8475.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,unknown,0,,0,0,4.0,Not Park Facing,Non-Corner,Non-Single Row
11712622,2025-11-04,Mudon,Al Ranim,Al Ranim 1,,,3300000,1488,16019,2217,206.0,Townhouse,3.0,,,,,1808.0,168.0,,G+1,Active Listings,Ultra-Prime  | Good Location  | Brand new,Dubai Properties,,,listing,8.9,2025-11,2025-11,6872.7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,unknown,0,0.8155164636896707,0,0,3.0,Not Park Facing,Non-Corner,Non-Single Row
11687445,2025-11-04,Mudon,Al Ranim,Al Ranim 1,,,3290000,1484,15971,2217,206.0,Townhouse,3.0,,,,,,,,G+1,Active Listings,FINANCE PRE-APPROVED BUYER WELCOME | VIEWING AVAILABLE,Dubai Properties,,,listing,8.9,2025-11,2025-11,6872.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,unknown,0,,0,0,3.0,Not Park Facing,Non-Corner,Non-Single Row
9052626,2025-08-05,Mudon,Al Ranim,Al Ranim 1,,,3250000,1460,15716,2226,206.8,Townhouse,3.0,,,,,1808.0,168.0,,G+1,Title Deed,,Dubai Properties,,Resale,transaction,5.9,2025-08,2025-08,6900.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,unknown,0,0.8122192273135669,0,1,3.0,Not Park Facing,Non-Corner,Non-Single Row
8945101,2025-04-21,Mudon,Al Ranim,Al Ranim 1,,,2975000,1342,14442,2217,206.0,Townhouse,3.0,,,,,1808.0,168.0,,G+1,Oqood,,Dubai Properties,,Resale,transaction,2.4,2025-04,2025-04,6872.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,unknown,0,0.8155164636896707,0,1,3.0,Not Park Facing,Non-Corner,Non-Single Row
8855519,2025-02-09,Mudon,Al Ranim,Al Ranim 1,,,2858800,1289,13878,2217,206.0,Townhouse,3.0,,,,,1916.0,178.0,,G+1,Oqood,,Dubai Properties,,Resale,transaction,0.1,2025-02,2025-02,6872.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,unknown,0,0.8642309427153811,0,1,3.0,Not Park Facing,Non-Corner,Non-Single Row
10907716,2025-09-09,Mudon,Al Ranim,Al Ranim 1,,,3600000,1624,17476,2217,206.0,Townhouse,3.0,,,,,1854.0,172.25,,G+1,Active Listings,Brand New I Fitted Kitchen I Spacious Layout,Dubai Properties,,,listing,7.1,2025-09,2025-09,6872.7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,unknown,0,0.8362652232746955,0,0,3.0,Not Park Facing,Non-Corner,Non-Single Row
10809400,2025-08-07,Mudon,Al Ranim,Al Ranim 1,,,3100000,1715,18452,1808,168.0,Townhouse,3.0,,,,,,,,G+1,Active Listings,On the Main Park| Prime Location | Handover july25,Dubai Properties,,,listing,6.0,2025-08,2025-08,5604.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,unknown,0,,0,0,3.0,Not Park Facing,Non-Corner,Non-Single Row
12091718,2025-11-18,Mudon,Al Ranim,Al Ranim 1,,,3600000,1624,17476,2217,206.0,Townhouse,3.0,,,,,1854.0,172.25,,G+1,Active Listings,Middle Unit I Brand New I Motivated Seller,Dubai Properties,,,listing,9.4,2025-11,2025-11,6872.7,0,0,0,0,0,0,0,1,1,0,0,0,0,0,,unknown,0,0.8362652232746955,0,0,3.0,Not Park Facing,Non-Corner,Non-Single Row
10728055,2025-07-20,Mudon,Al Ranim,Al Ranim 1,,,3200000,1443,15534,2217,206.0,Townhouse,3.0,,,,,1859.0,172.72,,G+1,Active Listings,Resale| Brand New 3 Bedroom+Maid| Vacant,Dubai Properties,,,listing,5.4,2025-07,2025-07,6872.7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,unknown,0,0.8385205232295896,0,0,3.0,Not Park Facing,Non-Corner,Non-Single Row
10669088,2025-07-01,Mudon,Al Ranim,Al Ranim 1,,,3100000,1398,15049,2217,206.0,Townhouse,3.0,,,,,,,,G+1,Active Listings,GENUNE RESALE | 3  BEDROOMS VILLA |PRIME LOCATION,Dubai Properties,,,listing,4.8,2025-07,2025-07,6872.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,unknown,0,,0,0,3.0,Not Park Facing,Non-Corner,Non-Single Row
11836036,2025-11-04,Mudon,Al Ranim,Al Ranim 1,,,3750000,1691,18204,2217,206.0,Townhouse,3.0,"Community,Play area",,,,1808.0,168.0,,G+1,Active Listings,Prime Location | Backing the Main Park| Brand New,Dubai Properties,,,listing,8.9,2025-11,2025-11,6872.7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,unknown,0,0.8155164636896707,0,0,3.0,Not Park Facing,Non-Corner,Non-Single Row
