"id","custom_date","master_development","sub_loc_1","sub_loc_2","sub_loc_3","sub_loc_4","total_sales_price_val","sales_price_sqft_unit","sales_price_sqm_unit","unit_size_sqft","unit_size_sqm","unit_type","no_beds","custom_view","maid","study","balcony","plot_size_sqft","plot_size_sqm","developer_type","floor_level","evdnc_name","comments","dev_name","unit_no","sale_sequence"
"10997982","2025-09-15","Mudon","Al Ranim","Al Ranim 1","","","4850000","1629","17528","2978","276.7","Townhouse","4","Community,Swimming Pool,Park","NULL","NULL","","2585","240.13","","G+2","Active Listings","VACANT | CORNER | 4BD+MAID | Al Ranim 1.","Dubai Properties","",""
"10096604","2025-02-26","Mudon","Al Ranim","Al Ranim 1","","","2999999","1353","14563","2217","206","Townhouse","3","","NULL","NULL","","0","0","NULL","G+1","Active Listings","Single Row | Facing The Pool | 3B1 Layout","Dubai Properties","",""
"9128713","2025-10-14","Mudon","Al Ranim","Al Ranim 1","","","3750000","1461","15720","2567","238.55","Townhouse","3","Community,Park","","","","1808","168","","G+2","Title Deed","","Dubai Properties","","Resale"
"11940819","2025-11-10","Mudon","Al Ranim","Al Ranim 1","","","4260000","1672","17991","2548","236.78","Townhouse","4","Community,Green belt,Back to Back","","","","2656","246.75","","G+1","Title Deed","","Dubai Properties","","Resale"
"11797665","2025-09-25","Mudon","Al Ranim","Al Ranim 1","","","4200000","1622","17455","2590","240.62","Townhouse","4","","","","","2666","247.68","","G+1","Pending Sales (SPA/MOU)","","Dubai Properties","",""
"10920424","2025-10-24","Mudon","Al Ranim","Al Ranim 1","","","4200000","1627","17500","2582","240","Townhouse","4","","NULL","NULL","","0","0","","G+1","Active Listings","Brand New Semi Detached | Furnished with White Goods | Welcoming Neighbourhood | Parkside Gem","Dubai Properties","",""
"10761317","2025-07-29","Mudon","Al Ranim","Al Ranim 1","","","4450000","1744","18776","2551","237","Townhouse","4","","NULL","NULL","","0","0","NULL","G+1","Active Listings","4Bed Townhouse | On The Park | Multiple Units","Dubai Properties","",""
"12071324","2025-11-18","Mudon","Al Ranim","Al Ranim 1","","","4200000","1648","17738","2548","236.78","Townhouse","4","","NULL","NULL","","2915","270.77","Type 4B1","G+1","Active Listings","Spacious 4 Bedroom | Vacant | Community View","Dubai Properties","",""
"10691525","2025-07-08","Mudon","Al Ranim","Al Ranim 1","","","4000000","1569","16893","2549","236.78","Townhouse","4","Community","NULL","NULL","","2975","276.43","NULL","G+1","Active Listings","Handover Soon | Huge Plot | Community View","Dubai Properties","",""
"10412550","2025-06-17","Mudon","Al Ranim","Al Ranim 1","","","3100000","1398","15049","2217","206","Townhouse","3","","NULL","NULL","","0","0","NULL","G+1","Active Listings","Type 3B1 | Opposite to Park | Genuine Resale","Dubai Properties","",""
